Player,height,weight,college,born,birth_city,birth_state,Geo_code,Latitude,Longitude
Stuart Gray,213,106,"University of California, Los Angeles",1963,Panama Canal Zone,Panama,"8.537981, -80.782127",8.537981,-80.782127
Mike Holton,193,83,"University of California, Los Angeles",1961,Seattle,Washington,"47.7510741, -120.7401385",47.7510741,-120.7401385
Ralph Jackson,188,86,"University of California, Los Angeles",1962,Los Angeles,California,"36.778261, -119.4179324",36.778261,-119.4179324
Earl Jones,213,95,University of the District of Columbia,1961,Oak Hill,West Virginia,"38.5976262, -80.4549026",38.5976262,-80.4549026
Ozell Jones,211,106,"California State University, Fullerton",1960,Long Beach,California,"36.778261, -119.4179324",36.778261,-119.4179324
Jerome Kersey,201,97,Longwood University,1962,Clarksville,Virginia,"37.4315734, -78.6568942",37.4315734,-78.6568942
Wayne Sappleton,206,97,Loyola University of Chicago,1960,Kingston,Jamaica,"18.109581, -77.297508",18.109581,-77.297508
Tom Scheffler,211,108,Purdue University,1954,St. Joseph,Michigan,"44.3148443, -85.60236429999999",44.3148443,-85.6023643
Tom Sewell,196,83,Lamar University,1962,Pensacola,Florida,"27.6648274, -81.5157535",27.6648274,-81.5157535
Charlie Sitton,203,95,Oregon State University,1962,McMinnville,Oregon,"43.8041334, -120.5542012",43.8041334,-120.5542012
Terence Stansbury,196,77,Temple University,1961,Wilmington,Delaware,"38.9108325, -75.52766989999999",38.9108325,-75.5276699
John Stockton*,185,77,Gonzaga University,1962,Spokane,Washington,"47.7510741, -120.7401385",47.7510741,-120.7401385
Peter Thibeaux,201,95,Saint Mary's College of California,1961,Los Angeles,California,"36.778261, -119.4179324",36.778261,-119.4179324
Jeff Turner,206,104,Vanderbilt University,1962,Bangor,Maine,"45.253783, -69.4454689",45.253783,-69.4454689
Willie White,190,88,University of Tennessee at Chattanooga,1962,Memphis,Tennessee,"35.5174913, -86.5804473",35.5174913,-86.5804473
Dale Wilkinson,208,99,Idaho State University,1960,Pocatello,Idaho,"44.0682019, -114.7420408",44.0682019,-114.7420408
Othell Wilson,183,86,University of Virginia,1961,Alexandria,Virginia,"37.4315734, -78.6568942",37.4315734,-78.6568942
Michael Adams,178,73,Boston College,1963,Hartford,Connecticut,"41.6032207, -73.087749",41.6032207,-73.087749
Uwe Blab,216,114,Indiana University,1962,Munich,Germany,"51.165691, 10.451526",51.165691,10.451526
Jeff Cross,208,108,University of Maine,1961,Chicago,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Kenny Green,203,97,University of Texas-Pan American,1959,Newman,Georgia,"32.1656221, -82.9000751",32.1656221,-82.9000751
Claude Gregory,203,92,University of Wisconsin,1958,Washington,District of Columbia,"38.9071923, -77.0368707",38.9071923,-77.0368707
Ken Johnson,203,108,Michigan State University,1962,Tuskegee,Alabama,"32.3182314, -86.902298",32.3182314,-86.902298
Yvon Joseph,211,111,Georgia Institute of Technology,1957,Cap-Haitian,Haiti,"18.971187, -72.285215",18.971187,-72.285215
Harold Keeling,193,83,Santa Clara University,1963,New Orleans,Louisiana,"30.9842977, -91.96233269999999",30.9842977,-91.9623327
Jon Koncak,213,113,Southern Methodist University,1963,Cedar Rapids,Iowa,"41.8780025, -93.097702",41.8780025,-93.097702
Xavier McDaniel,201,92,Wichita State University,1963,Columbia,South Carolina,"33.836081, -81.1637245",33.836081,-81.1637245
Ben McDonald,203,95,"University of California, Irvine",1962,Torrance,California,"36.778261, -119.4179324",36.778261,-119.4179324
Chris McNealy,201,95,San Jose State University,1961,Fresno,California,"36.778261, -119.4179324",36.778261,-119.4179324
Blair Rasmussen,213,113,University of Oregon,1962,Auburn,Washington,"47.7510741, -120.7401385",47.7510741,-120.7401385
Jerry Reynolds,203,90,Louisiana State University,1962,Brooklyn,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Derrick Rowland,196,88,State University of New York at Potsdam,1959,Brookhaven,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Detlef Schrempf,206,97,University of Washington,1963,Leverkusen,Germany,"51.165691, 10.451526",51.165691,10.451526
Sedric Toney,188,80,University of Dayton,1962,Columbus,Mississippi,"32.3546679, -89.3985283",32.3546679,-89.3985283
Mark Alarie,203,98,Duke University,1963,Phoenix,Arizona,"34.0489281, -111.0937311",34.0489281,-111.0937311
William Bedford,213,102,University of Memphis,1963,Memphis,Tennessee,"35.5174913, -86.5804473",35.5174913,-86.5804473
Joe Binion,203,106,North Carolina Agricultural and Technical State University,1961,Rochester,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Ben Coleman,206,106,University of Maryland,1961,Minneapolis,Minnesota,"46.729553, -94.6858998",46.729553,-94.6858998
Brad Daugherty,213,111,University of North Carolina,1965,Black Mountain,North Carolina,"35.7595731, -79.01929969999999",35.7595731,-79.0192997
Bruce Douglas,190,88,University of Illinois at Urbana-Champaign,1964,Quincy,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Dave Feitl,211,106,University of Texas at El Paso,1962,Butler,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Kenny Gattison,203,102,Old Dominion University,1964,Wilmington,North Carolina,"35.7595731, -79.01929969999999",35.7595731,-79.0192997
Grant Gondrezick,196,92,Pepperdine University,1963,Boulder,Colorado,"39.5500507, -105.7820674",39.5500507,-105.7820674
Ron Harper,198,83,Miami University,1964,Dayton,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
Conner Henry,201,88,"University of California, Santa Barbara",1963,Claremont,California,"36.778261, -119.4179324",36.778261,-119.4179324
Jeff Hornacek,190,86,Iowa State University,1963,Elmhurst,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Steffond Johnson,203,99,Murray State University,1944,Clairton,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Anthony Jones,198,88,"University of Nevada, Las Vegas",1962,Washington,District of Columbia,"38.9071923, -77.0368707",38.9071923,-77.0368707
Curtis Kitchen,206,106,University of South Florida,1964,Cape Coral,Florida,"27.6648274, -81.5157535",27.6648274,-81.5157535
Pete Myers,198,81,University of Arkansas at Little Rock,1963,Mobile,Alabama,"32.3182314, -86.902298",32.3182314,-86.902298
Dennis Nutt,188,77,Texas Christian University,1963,Little Rock,Arkansas,"35.20105, -91.8318334",35.20105,-91.8318334
Chuck Person,203,99,Auburn University,1964,Brantley,Alabama,"32.3182314, -86.902298",32.3182314,-86.902298
Dennis Rodman*,201,95,Southeastern Oklahoma State University,1961,Trenton,New Jersey,"40.0583238, -74.4056612",40.0583238,-74.4056612
Johnny Rogers,208,102,"University of California, Irvine",1963,Fullerton,California,"36.778261, -119.4179324",36.778261,-119.4179324
Scott Skiles,185,81,Michigan State University,1964,LaPorte,Indiana,"40.2671941, -86.1349019",40.2671941,-86.1349019
Clinton Smith,198,95,Cleveland State University,1964,Cleveland,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
Billy Thompson,201,88,University of Louisville,1963,Camden,New Jersey,"40.0583238, -74.4056612",40.0583238,-74.4056612
Pearl Washington,188,86,Syracuse University,1964,Brooklyn,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
David Wingate,196,83,Georgetown University,1963,Baltimore,Maryland,"39.0457549, -76.64127119999999",39.0457549,-76.6412712
Brad Wright,211,102,"University of California, Los Angeles",1962,Hollywood,California,"36.778261, -119.4179324",36.778261,-119.4179324
Mark Acres,211,99,Oral Roberts University,1962,Inglewood,California,"36.778261, -119.4179324",36.778261,-119.4179324
Greg Anderson,208,104,University of Houston,1964,Houston,Texas,"31.9685988, -99.9018131",31.9685988,-99.9018131
Nate Blackwell,193,77,Temple University,1965,Philadelphia,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Armen Gilliam,206,104,"University of Nevada, Las Vegas",1964,Pittsburgh,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Horace Grant,208,97,Clemson University,1965,Augusta,Georgia,"32.1656221, -82.9000751",32.1656221,-82.9000751
Kevin Johnson,203,108,Michigan State University,1962,Tuskegee,Alabama,"32.3182314, -86.902298",32.3182314,-86.902298
Ralph Lewis,198,90,La Salle University,1963,Philadelphia,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Derrick McKey,206,92,University of Alabama,1966,Meridian,Mississippi,"32.3546679, -89.3985283",32.3546679,-89.3985283
Andre Moore,206,97,Loyola University of Chicago,1964,Chicago,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Richard Rellford,198,104,University of Michigan,1964,Riviera Beach,Florida,"27.6648274, -81.5157535",27.6648274,-81.5157535
Scott Roth,203,96,University of Wisconsin,1963,Cleveland,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
Mark Wade,180,72,"University of Nevada, Las Vegas",1965,Torrance,California,"36.778261, -119.4179324",36.778261,-119.4179324
Milt Wagner,196,83,University of Louisville,1963,Camden,New Jersey,"40.0583238, -74.4056612",40.0583238,-74.4056612
Jamie Waller,193,97,Virginia Union University,1964,South Boston,Virginia,"37.4315734, -78.6568942",37.4315734,-78.6568942
Chris Welp,213,111,University of Washington,1964,Delmenhorst,Germany,"51.165691, 10.451526",51.165691,10.451526
Tony White,188,77,University of Tennessee,1965,Charlotte,North Carolina,"35.7595731, -79.01929969999999",35.7595731,-79.0192997
Nikita Wilson,203,90,Louisiana State University,1964,Pineville,Louisiana,"30.9842977, -91.96233269999999",30.9842977,-91.9623327
Rickie Winslow,203,102,University of Houston,1964,Houston,Texas,"31.9685988, -99.9018131",31.9685988,-99.9018131
Joe Wolf,211,104,University of North Carolina,1964,Kohler,Wisconsin,"43.7844397, -88.7878678",43.7844397,-88.7878678
Greg Butler,211,108,Stanford University,1966,Inglewood,California,"36.778261, -119.4179324",36.778261,-119.4179324
Mike Champion,208,104,Gonzaga University,1964,Everett,Washington,"47.7510741, -120.7401385",47.7510741,-120.7401385
Rex Chapman,193,83,University of Kentucky,1967,Bowling Green,Kentucky,"37.8393332, -84.2700179",37.8393332,-84.2700179
Derrick Chievous,201,88,University of Missouri,1967,New York,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Ledell Eackles,196,99,University of New Orleans,1966,Baton Rouge,Louisiana,"30.9842977, -91.96233269999999",30.9842977,-91.9623327
Anthony Frederick,201,92,Pepperdine University,1964,Los Angeles,California,"36.778261, -119.4179324",36.778261,-119.4179324
Corey Gaines,190,88,Loyola Marymount University,1965,Los Angeles,California,"36.778261, -119.4179324",36.778261,-119.4179324
Ben Gillery,213,106,Georgetown University,1965,Detroit,Michigan,"44.3148443, -85.60236429999999",44.3148443,-85.6023643
Bill Jones,201,79,University of Iowa,1966,Detroit,Michigan,"44.3148443, -85.60236429999999",44.3148443,-85.6023643
Shelton Jones,206,95,St. John's University,1966,Copaigue,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Andrew Lang,211,111,University of Arkansas,1966,Pine Bluff,Arkansas,"35.20105, -91.8318334",35.20105,-91.8318334
Grant Long,203,102,Eastern Michigan University,1966,Wayne,Michigan,"44.3148443, -85.60236429999999",44.3148443,-85.6023643
Dan Majerle,198,97,Central Michigan University,1965,Traverse City,Michigan,"44.3148443, -85.60236429999999",44.3148443,-85.6023643
Danny Manning,208,104,University of Kansas,1966,Hattiesburg,Mississippi,"32.3546679, -89.3985283",32.3546679,-89.3985283
Will Perdue,213,108,Vanderbilt University,1965,Melbourne,Florida,"27.6648274, -81.5157535",27.6648274,-81.5157535
Tim Perry,206,90,Temple University,1965,Freehold,New Jersey,"40.0583238, -74.4056612",40.0583238,-74.4056612
David Rivers,183,77,University of Notre Dame,1965,Jersey City,New Jersey,"40.0583238, -74.4056612",40.0583238,-74.4056612
Rob Rose,196,81,George Mason University,1964,Rochester,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Jim Rowinski,203,113,Purdue University,1961,Long Island,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Rony Seikaly,211,104,Syracuse University,1965,Beirut,Lebanon,"33.854721, 35.862285",33.854721,35.862285
Brian Shaw,198,86,"University of California, Santa Barbara",1966,Oakland,California,"36.778261, -119.4179324",36.778261,-119.4179324
Keith Smart,185,79,Indiana University,1964,Baton Rouge,Louisiana,"30.9842977, -91.96233269999999",30.9842977,-91.9623327
Everette Stephens,188,79,Purdue University,1966,Evanston,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Tom Tolbert,201,106,University of Arizona,1965,Long Beach,California,"36.778261, -119.4179324",36.778261,-119.4179324
Kelvin Upshaw,188,81,University of Utah,1963,Chicago,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Morlon Wiley,193,83,"California State University, Long Beach",1966,New Orleans,Louisiana,"30.9842977, -91.96233269999999",30.9842977,-91.9623327
Michael Ansley,201,102,University of Alabama,1967,Birmingham,Alabama,"32.3182314, -86.902298",32.3182314,-86.902298
Chucky Brown,201,97,North Carolina State University,1968,New York,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Torgeir Bryn,206,113,Texas State University,1964,Oslo,Norway,"60.47202399999999, 8.468945999999999",60.472024,8.468946
Adrian Caldwell,203,120,Lamar University,1966,Falls County,Texas,"31.9685988, -99.9018131",31.9685988,-99.9018131
Terry Davis,206,102,Virginia Union University,1967,Danville,Virginia,"37.4315734, -78.6568942",37.4315734,-78.6568942
Byron Dinkins,185,77,University of North Carolina at Charlotte,1967,Charlotte,North Carolina,"35.7595731, -79.01929969999999",35.7595731,-79.0192997
Blue Edwards,193,90,East Carolina University,1965,Washington,District of Columbia,"38.9071923, -77.0368707",38.9071923,-77.0368707
Jay Edwards,213,102,University of Washington,1955,Seattle,Washington,"47.7510741, -120.7401385",47.7510741,-120.7401385
Sean Elliott,203,92,University of Arizona,1968,Tucson,Arizona,"34.0489281, -111.0937311",34.0489281,-111.0937311
Mike Higgins,206,99,University of Northern Colorado,1967,Grand Island,Nebraska,"41.4925374, -99.9018131",41.4925374,-99.9018131
Frank Kornet,206,102,Vanderbilt University,1967,Lexington,Kentucky,"37.8393332, -84.2700179",37.8393332,-84.2700179
Jeff Lebo,188,81,University of North Carolina,1966,Carlisle,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Tim Legler,193,90,La Salle University,1966,Washington,District of Columbia,"38.9071923, -77.0368707",38.9071923,-77.0368707
Clifford Lett,190,77,University of Florida,1965,Pensacola,Florida,"27.6648274, -81.5157535",27.6648274,-81.5157535
Anthony Mason,201,113,Tennessee State University,1966,Miami,Florida,"27.6648274, -81.5157535",27.6648274,-81.5157535
Bob McCann,198,110,Morehead State University,1964,Morristown,New Jersey,"40.0583238, -74.4056612",40.0583238,-74.4056612
Mel McCants,203,108,Purdue University,1967,Chicago,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
George McCloud,198,92,Florida State University,1967,Daytona Beach,Florida,"27.6648274, -81.5157535",27.6648274,-81.5157535
Carlton McKinney,193,86,Southern Methodist University,1964,San Diego,California,"36.778261, -119.4179324",36.778261,-119.4179324
David Robinson*,216,106,United States Naval Academy,1965,Key West,Florida,"27.6648274, -81.5157535",27.6648274,-81.5157535
Donald Royal,203,95,University of Notre Dame,1966,New Orleans,Louisiana,"30.9842977, -91.96233269999999",30.9842977,-91.9623327
Jeff Sanders,203,102,Georgia Southern University,1966,Augusta,Georgia,"32.1656221, -82.9000751",32.1656221,-82.9000751
Michael Smith,208,102,Brigham Young University,1965,Rochester,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Alaa Abdelnaby,208,108,Duke University,1968,Cairo,Egypt,"26.820553, 30.802498",26.820553,30.802498
Willie Burton,203,95,University of Minnesota,1968,Detroit,Michigan,"44.3148443, -85.60236429999999",44.3148443,-85.6023643
Derrick Coleman,208,104,Syracuse University,1967,Mobile,Alabama,"32.3182314, -86.902298",32.3182314,-86.902298
Tony Dawson,201,97,Florida State University,1967,Kinston,North Carolina,"35.7595731, -79.01929969999999",35.7595731,-79.0192997
Greg Foster,211,108,University of Texas at El Paso,1968,Oakland,California,"36.778261, -119.4179324",36.778261,-119.4179324
Henry James,203,99,St. Mary's University,1965,Centreville,Alabama,"32.3182314, -86.902298",32.3182314,-86.902298
Tony Massenburg,206,99,University of Maryland,1967,Sussex,Virginia,"37.4315734, -78.6568942",37.4315734,-78.6568942
Dan O'Sullivan,208,113,Fordham University,1968,Bronx,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Kevin Pritchard,190,81,University of Kansas,1967,Bloomington,Indiana,"40.2671941, -86.1349019",40.2671941,-86.1349019
Steve Scheffler,206,113,Purdue University,1967,Grand Rapids,Michigan,"44.3148443, -85.60236429999999",44.3148443,-85.6023643
Dennis Scott,203,103,Georgia Institute of Technology,1968,Hagerstown,Maryland,"39.0457549, -76.64127119999999",39.0457549,-76.6412712
Felton Spencer,213,120,University of Louisville,1968,Louisville,Kentucky,"37.8393332, -84.2700179",37.8393332,-84.2700179
Irving Thomas,203,102,Florida State University,1966,Brooklyn,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Jayson Williams,206,108,St. John's University,1968,Ritter,South Carolina,"33.836081, -81.1637245",33.836081,-81.1637245
Kenny Williams,188,79,St. John's University,1961,New York,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Howard Wright,190,83,Austin Peay State University,1947,Louisville,Kentucky,"37.8393332, -84.2700179",37.8393332,-84.2700179
Greg Anthony,183,79,"University of Nevada, Las Vegas",1967,Las Vegas,Nevada,"38.8026097, -116.419389",38.8026097,-116.419389
Steve Bardo,196,86,University of Illinois at Urbana-Champaign,1968,Henderson,Kentucky,"37.8393332, -84.2700179",37.8393332,-84.2700179
Randy Brown,203,99,University of Idaho,1965,Atlanta,Georgia,"32.1656221, -82.9000751",32.1656221,-82.9000751
Tom Copa,208,124,Marquette University,1964,Robbinsdale,Minnesota,"46.729553, -94.6858998",46.729553,-94.6858998
Chris Corchiani,183,83,North Carolina State University,1968,Coral Gables,Florida,"27.6648274, -81.5157535",27.6648274,-81.5157535
Patrick Eddie,211,108,University of Mississippi,1967,Milwaukee,Wisconsin,"43.7844397, -88.7878678",43.7844397,-88.7878678
Carl Herrera,206,97,University of Houston,1966,Trinidad,Trinidad and Tobago,"10.691803, -61.222503",10.691803,-61.222503
Donald Hodge,213,104,Temple University,1969,Washington,District of Columbia,"38.9071923, -77.0368707",38.9071923,-77.0368707
Mike Iuzzolino,178,79,Saint Francis University,1968,Altoona,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Tharon Mayes,190,79,Florida State University,1968,New Haven,Connecticut,"41.6032207, -73.087749",41.6032207,-73.087749
Rodney Monroe,190,83,North Carolina State University,1968,Baltimore,Maryland,"39.0457549, -76.64127119999999",39.0457549,-76.6412712
Tracy Moore,193,90,University of Tulsa,1965,Oklahoma City,Oklahoma,"35.4675602, -97.5164276",35.4675602,-97.5164276
Eric Murdock,185,86,Providence College,1968,Somerville,New Jersey,"40.0583238, -74.4056612",40.0583238,-74.4056612
Elliot Perry,183,68,University of Memphis,1969,Memphis,Tennessee,"35.5174913, -86.5804473",35.5174913,-86.5804473
Stanley Roberts,213,129,Louisiana State University,1970,Hopkins,South Carolina,"33.836081, -81.1637245",33.836081,-81.1637245
LaBradford Smith,203,97,Alcorn State University,1958,Rolling Fork,Mississippi,"32.3546679, -89.3985283",32.3546679,-89.3985283
Larry Stewart,203,99,Coppin State University,1968,Philadelphia,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Derek Strong,203,99,Xavier University,1968,Los Angeles,California,"36.778261, -119.4179324",36.778261,-119.4179324
Stephen Thompson,193,83,Syracuse University,1968,Los Angeles,California,"36.778261, -119.4179324",36.778261,-119.4179324
John Turner,203,111,Phillips University,1967,Washington,District of Columbia,"38.9071923, -77.0368707",38.9071923,-77.0368707
Byron Houston,196,113,Oklahoma State University,1969,Watonga,Kansas,"39.011902, -98.4842465",39.011902,-98.4842465
Dave Johnson,201,95,Syracuse University,1970,Morgan City,Louisiana,"30.9842977, -91.96233269999999",30.9842977,-91.9623327
Thomas Jordan,208,99,Oklahoma State University,1968,Baltimore,Maryland,"39.0457549, -76.64127119999999",39.0457549,-76.6412712
Marlon Maxey,203,113,University of Texas at El Paso,1969,Chicago,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Oliver Miller,206,127,University of Arkansas,1970,Fort Worth,Texas,"31.9685988, -99.9018131",31.9685988,-99.9018131
Isaiah Morris,203,103,University of Arkansas,1969,Richmond,Virginia,"37.4315734, -78.6568942",37.4315734,-78.6568942
Alonzo Mourning*,208,108,Georgetown University,1970,Chesapeake,Virginia,"37.4315734, -78.6568942",37.4315734,-78.6568942
Matt Othick,188,74,University of Arizona,1969,Clovis,New Mexico,"34.5199402, -105.8700901",34.5199402,-105.8700901
Chris Smith,208,104,University of Pittsburgh,1965,Bridgeport,Connecticut,"41.6032207, -73.087749",41.6032207,-73.087749
Latrell Sprewell,196,86,University of Alabama,1970,Milwaukee,Wisconsin,"43.7844397, -88.7878678",43.7844397,-88.7878678
Barry Stevens,196,88,Iowa State University,1963,Flint,Michigan,"44.3148443, -85.60236429999999",44.3148443,-85.6023643
Randy Woods,178,83,La Salle University,1970,Philadelphia,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Gary Alexander,201,108,University of South Florida,1969,Jacksonville,Florida,"27.6648274, -81.5157535",27.6648274,-81.5157535
Corie Blount,206,108,University of Cincinnati,1969,Monrovia,California,"36.778261, -119.4179324",36.778261,-119.4179324
Mitchell Butler,188,77,University of Memphis,1946,Memphis,Tennessee,"35.5174913, -86.5804473",35.5174913,-86.5804473
Terry Dehere,188,86,Seton Hall University,1971,New York,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Bill Edwards,203,97,Wright State University,1971,Middletown,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
Chad Gallagher,208,115,Creighton University,1969,Rockford,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Andrew Gaze,201,92,Seton Hall University,1965,Melbourne,Australia,"-25.274398, 133.775136",-25.274398,133.775136
Ricky Grace,185,81,University of Oklahoma,1967,Dallas,Texas,"31.9685988, -99.9018131",31.9685988,-99.9018131
Josh Grant,206,101,University of Utah,1967,Salt Lake City,Utah,"39.3209801, -111.0937311",39.3209801,-111.0937311
Geert Hammink,213,118,Louisiana State University,1969,Didam,Netherlands,"52.132633, 5.291265999999999",52.132633,5.291266
Antonio Harvey,211,102,Pfeiffer University,1970,Pascagoula,Mississippi,"32.3546679, -89.3985283",32.3546679,-89.3985283
Scott Haskin,211,113,Oregon State University,1970,Riverside,California,"36.778261, -119.4179324",36.778261,-119.4179324
Allan Houston,198,90,University of Tennessee,1971,Louisville,Kentucky,"37.8393332, -84.2700179",37.8393332,-84.2700179
Lindsey Hunter,188,77,Jackson State University,1970,Utica,Mississippi,"32.3546679, -89.3985283",32.3546679,-89.3985283
Bobby Hurley,183,74,Duke University,1971,Jersey City,New Jersey,"40.0583238, -74.4056612",40.0583238,-74.4056612
Chris Jent,201,99,Ohio State University,1970,Orange,California,"36.778261, -119.4179324",36.778261,-119.4179324
Malcolm Mackey,206,112,Georgia Institute of Technology,1970,Chattanooga,Tennessee,"35.5174913, -86.5804473",35.5174913,-86.5804473
Chris Mills,198,97,University of Arizona,1970,Los Angeles,California,"36.778261, -119.4179324",36.778261,-119.4179324
Richard Petruska,208,117,"University of California, Los Angeles",1969,Levice,Slovakia,"48.669026, 19.699024",48.669026,19.699024
Isaiah Rider,196,97,"University of Nevada, Las Vegas",1971,Oakland,California,"36.778261, -119.4179324",36.778261,-119.4179324
Rodney Rogers,201,106,Wake Forest University,1971,Durham,North Carolina,"35.7595731, -79.01929969999999",35.7595731,-79.0192997
Kevin Thompson,211,117,North Carolina State University,1971,Winston-Salem,North Carolina,"35.7595731, -79.01929969999999",35.7595731,-79.0192997
Keith Tower,211,113,University of Notre Dame,1970,Libby,Montana,"46.8796822, -110.3625658",46.8796822,-110.3625658
Rex Walters,193,86,University of Kansas,1970,Omaha,Nebraska,"41.4925374, -99.9018131",41.4925374,-99.9018131
Chris Webber,206,111,University of Michigan,1973,Detroit,Michigan,"44.3148443, -85.60236429999999",44.3148443,-85.6023643
Chris Whitney,183,76,Clemson University,1971,Hopkinsville,Kentucky,"37.8393332, -84.2700179",37.8393332,-84.2700179
Luther Wright,218,122,Seton Hall University,1971,Jersey City,New Jersey,"40.0583238, -74.4056612",40.0583238,-74.4056612
Derrick Alston,211,102,Duquesne University,1972,Bronx,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Elmer Bennett,183,77,University of Notre Dame,1970,Evanston,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Tim Breaux,201,97,University of Wyoming,1970,Baton Rouge,Louisiana,"30.9842977, -91.96233269999999",30.9842977,-91.9623327
Brian Grant,206,115,Xavier University,1972,Columbus,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
Askia Jones,196,90,Kansas State University,1971,Philadelphia,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Anthony Miller,206,102,Michigan State University,1971,Benton Harbor,Michigan,"44.3148443, -85.60236429999999",44.3148443,-85.6023643
Dwayne Morton,201,88,University of Louisville,1971,Louisville,Kentucky,"37.8393332, -84.2700179",37.8393332,-84.2700179
Lamond Murray,201,107,University of California,1973,Pasadena,California,"36.778261, -119.4179324",36.778261,-119.4179324
Derrick Phelps,193,82,University of North Carolina,1972,Queens,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Eldridge Recasner,190,86,University of Washington,1967,New Orleans,Louisiana,"30.9842977, -91.96233269999999",30.9842977,-91.9623327
Glenn Robinson,201,102,Purdue University,1973,Gary,Indiana,"40.2671941, -86.1349019",40.2671941,-86.1349019
Carlos Rogers,211,99,Tennessee State University,1971,Detroit,Michigan,"44.3148443, -85.60236429999999",44.3148443,-85.6023643
Jalen Rose,203,95,University of Michigan,1973,Detroit,Michigan,"44.3148443, -85.60236429999999",44.3148443,-85.6023643
Dickey Simpkins,206,112,Providence College,1972,Fort Washington,Maryland,"39.0457549, -76.64127119999999",39.0457549,-76.6412712
Reggie Slater,201,97,University of Wyoming,1970,Houston,Texas,"31.9685988, -99.9018131",31.9685988,-99.9018131
Brooks Thompson,193,87,Oklahoma State University,1970,Dallas,Texas,"31.9685988, -99.9018131",31.9685988,-99.9018131
Anthony Tucker,203,99,Wake Forest University,1969,Washington,District of Columbia,"38.9071923, -77.0368707",38.9071923,-77.0368707
Jamie Watson,201,86,University of South Carolina,1972,Elm City,North Carolina,"35.7595731, -79.01929969999999",35.7595731,-79.0192997
Sharone Wright,211,117,Clemson University,1973,Macon,Georgia,"32.1656221, -82.9000751",32.1656221,-82.9000751
Cory Alexander,185,83,University of Virginia,1973,Waynesboro,Virginia,"37.4315734, -78.6568942",37.4315734,-78.6568942
John Amaechi,208,122,Pennsylvania State University,1970,Boston,Massachusetts,"42.4072107, -71.3824374",42.4072107,-71.3824374
Marques Bragg,203,104,Providence College,1970,East Orange,New Jersey,"40.0583238, -74.4056612",40.0583238,-74.4056612
Junior Burrough,203,109,University of Virginia,1973,Charlotte,North Carolina,"35.7595731, -79.01929969999999",35.7595731,-79.0192997
Jason Caffey,203,115,University of Alabama,1973,Mobile,Alabama,"32.3182314, -86.902298",32.3182314,-86.902298
Chris Carr,196,93,Southern Illinois University,1974,Ironton,Missouri,"37.9642529, -91.8318334",37.9642529,-91.8318334
Randolph Childress,188,85,Wake Forest University,1972,Washington,District of Columbia,"38.9071923, -77.0368707",38.9071923,-77.0368707
Charles Claxton,213,120,University of Georgia,1970,St. Thomas,U.S. Virgin Islands,"18.335765, -64.896335",18.335765,-64.896335
